,Sentence
17,"Diese Teile
können auch nicht vor dem einigen allbefassenden Raume gleichsam
als dessen Bestandteile (daraus seine Zusammensetzung möglich sei)
vorhergehen, sondern nur in ihm gedacht werden."
18,"Er ist wesentlich
einig, das Mannigfaltige in ihm, mithin auch der allgemeine Begriff
von Räumen überhaupt, beruht lediglich auf Einschränkungen."
19,"Hieraus
folgt, daß in Ansehung seiner eine Anschauung a priori (die nicht
empirisch ist) allen Begriffen von demselben zum Grunde liegt."
20,"So
werden auch alle geometrischen Grundsätze, z.E.# daß in einem Triangel
zwei Seiten zusammen größer sind, als die dritte, niemals aus
allgemeinen Begriffen von Linie und Triangel, sondern aus der
Anschauung und zwar a priori mit apodiktischer Gewißheit abgeleitet."
21,Der Raum wird als eine unendliche gegebene Größe vorgestellt.
22,"Nun
muß man zwar einen jeden Begriff als eine Vorstellung denken, die in
einer unendlichen Menge von verschiedenen möglichen Vorstellungen (als
ihr gemeinschaftliches Merkmal) enthalten ist, mithin diese unter sich
enthält, aber kein Begriff, als ein solcher, kann so gedacht werden,
als ob er eine unendliche Menge von Vorstellungen in sich enthielte."
23,"Gleichwohl wird der Raum so gedacht (denn alle Teile des Raumes ins
Unendliche sind zugleich)."
24,"Also ist die ursprüngliche Vorstellung vom
Raume Anschauung a priori, und nicht Begriff."
25,"Die Zeit ist kein empirischer Begriff, der irgend von
einer Erfahrung abgezogen worden."
26,"Denn das Zugleichsein oder
Aufeinanderfolgen würde selbst nicht in die Wahrnehmung kommen, wenn
die Vorstellung der Zeit nicht a priori zum Grunde läge."
27,"Nur unter
deren Voraussetzung kann man sich vorstellen, daß einiges zu einer und
derselben Zeit (zugleich) oder in verschiedenen Zeiten (nacheinander)
sei."
28,"Die Zeit ist eine notwendige Vorstellung, die allen Anschauungen
zum Grunde liegt."
29,"Man kann in Ansehung der Erscheinungen überhaupt die
Zeit selbst nicht aufheben, ob man zwar ganz wohl die Erscheinungen
aus der Zeit wegnehmen kann."
30,Die Zeit ist also a priori gegeben.
31,"In
ihr allein ist alle Wirklichkeit der Erscheinungen möglich."
32,"Diese
können insgesamt wegfallen, aber sie selbst (als die allgemeine
Bedingung ihrer Möglichkeit,) kann nicht aufgehoben werden."
33,"Auf diese Notwendigkeit a priori gründet sich auch die Möglichkeit
apodiktischer Grundsätze von den Verhältnissen der Zeit, oder Axiomen
von der Zeit überhaupt."
34,"Sie hat nur Eine Dimension: verschiedene
Zeiten sind nicht zugleich, sondern nacheinander (so wie verschiedene
Räume nicht nacheinander, sondern zugleich sind)."
35,"Diese Grundsätze
können aus der Erfahrung nicht gezogen werden, denn diese würde weder
strenge Allgemeinheit, noch apodiktische Gewißheit geben."
36,"Wir würden
nur sagen können: so lehrt es die gemeine Wahrnehmung; nicht aber: so
muß es sich verhalten."
37,"Diese Grundsätze gelten als Regeln, unter denen
überhaupt Erfahrungen möglich sind, und belehren uns vor derselben,
und nicht durch dieselbe."
38,"Die Zeit ist kein diskursiver, oder, wie man ihn nennt, allgemeiner
Begriff, sondern eine reine Form der sinnlichen Anschauung."
39,Verschiedene Zeiten sind nur Teile eben derselben Zeit.
40,"Die
Vorstellung, die nur durch einen einzigen Gegenstand gegeben werden
kann, ist aber Anschauung."
41,"Auch würde sich der Satz, daß verschiedene
Zeiten nicht zugleich sein können, aus einem allgemeinen Begriff nicht
herleiten lassen."
42,"Der Satz ist synthetisch, und kann aus Begriffen
allein nicht entspringen."
43,"Er ist also in der Anschauung und
Vorstellung der Zeit unmittelbar enthalten."
44,"Die Unendlichkeit der Zeit bedeutet nichts weiter, als daß alle
bestimmte Größe der Zeit nur durch Einschränkungen einer einigen
zum Grunde liegenden Zeit möglich sei."
45,"Daher muß die ursprüngliche
Vorstellung Zeit als uneingeschränkt gegeben sein."
46,"Wovon aber
die Teile selbst, und jede Größe eines Gegenstandes, nur durch
Einschränkung bestimmt vorgestellt werden können, da muß die ganze
Vorstellung nicht durch Begriffe gegeben sein, (denn die enthalten nur
Teilvorstellungen,) sondern es muß ihnen unmittelbare Anschauung zum
Grunde liegen."
